# Tornado Spin Measurement Data - Air Roll Left
# Generated: 2025-12-19 19:32:51
# Total Measurements: 25
# Air Roll: LEFT (controller.roll = -1)
# Stabilization: 5.0s minimum
#
measurement_num,angle_deg,magnitude,radius_uu,center_x,center_y,center_z,axis_x,axis_y,axis_z,axis_tilt_deg
1,0.0,0.10,1.868,58.833,-3.946,501.117,-0.0332,-0.6972,-0.7162,44.26
2,0.0,0.25,5.264,57.840,-10.081,502.610,-0.0876,-0.6890,-0.7194,43.99
3,0.0,0.50,11.810,53.459,-21.419,505.051,-0.1895,-0.6472,-0.7384,42.41
4,0.0,0.75,17.431,44.996,-33.307,506.615,-0.2866,-0.5439,-0.7887,37.94
5,0.0,1.00,23.990,35.318,-39.760,508.825,-0.3898,-0.5156,-0.7630,40.27
6,22.5,0.10,1.837,58.835,-3.446,502.174,-0.0347,-0.8856,-0.4631,62.41
7,22.5,0.25,4.983,57.953,-8.419,505.225,-0.0873,-0.8850,-0.4573,62.79
8,22.5,0.50,10.579,53.940,-18.501,510.854,-0.1823,-0.8356,-0.5182,58.79
9,22.5,0.75,15.549,46.876,-27.868,516.304,-0.2768,-0.7876,-0.5505,56.60
10,22.5,1.00,19.152,37.717,-35.011,521.598,-0.3738,-0.7442,-0.5536,56.39
11,45.0,0.10,1.701,58.865,-2.231,502.940,-0.0316,-0.9923,-0.1196,83.13
12,45.0,0.25,4.855,58.146,-5.200,507.077,-0.0854,-0.9959,-0.0301,88.28
13,45.0,0.50,10.030,55.115,-10.735,515.101,-0.1803,-0.9828,-0.0406,87.67
14,45.0,0.75,13.785,49.645,-16.659,523.440,-0.2726,-0.9566,-0.1026,84.11
15,45.0,1.00,17.109,42.093,-21.723,530.744,-0.3612,-0.9195,-0.1552,81.07
16,67.5,0.10,1.742,58.880,-0.682,503.347,-0.0316,-0.9299,0.3663,68.51
17,67.5,0.25,4.220,58.177,-1.785,508.717,-0.0800,-0.9363,0.3420,70.00
18,67.5,0.50,9.654,55.352,-3.271,517.714,-0.1716,-0.9141,0.3675,68.44
19,67.5,0.75,13.630,50.329,-4.409,527.264,-0.2655,-0.9005,0.3444,69.85
20,67.5,1.00,16.813,43.489,-5.337,535.765,-0.3592,-0.8820,0.3051,72.23
21,90.0,0.10,1.813,58.889,0.809,503.118,-0.0283,-0.6983,0.7152,44.34
22,90.0,0.25,4.668,58.240,2.039,507.982,-0.0709,-0.7116,0.6990,45.65
23,90.0,0.50,9.721,55.205,3.925,518.002,-0.1549,-0.7532,0.6392,50.27
24,90.0,0.75,14.866,50.416,6.552,525.999,-0.2425,-0.7189,0.6514,49.35
25,90.0,1.00,18.529,42.771,7.319,535.430,-0.3152,-0.7794,0.5415,57.21
